P_Ankle_Flex_Ext,NP_Ankle_Flex_Ext,P_Ankle_Abd_Add,NP_Ankle_Abd_Add,P_Knee_Flex_Ext,NP_Knee_Flex_Ext
84.9694630465631,98.0403129203877,-2.43864800351413,-11.0562780502512,0.500977601717254,7.90308097278018
82.8526555190394,97.0634551530912,-2.7925674351358,-10.8713762761644,1.08058577309863,10.3068693037205
80.919056284053,95.9262766324634,-3.19115720196759,-10.6387865991586,1.7017132626264,12.8515872940359
79.3024052503545,94.5712008591233,-3.65006902771337,-10.3436713752465,2.37100138789049,15.5725337541971
78.1008352518358,92.9595527819048,-4.16842751882922,-9.97771712823092,3.10186997950297,18.4971898266173
77.364219816601,91.0796438519471,-4.72873899118545,-9.5420691839976,3.89887560230239,21.6434204676912
77.0895801443706,88.9500239894137,-5.30246579216394,-9.04853213846891,4.74536007607498,25.0213294512301
77.2290667942067,86.6199581746769,-5.85736713199461,-8.51972314499044,5.60198746022529,28.6311769572808
77.7052179474897,84.168413700446,-6.36237654014377,-7.98893384133061,6.41350589088215,32.4568684193269
78.42614103645,81.7008782550064,-6.78990341178585,-7.49755530195198,7.12013500977492,36.4587179792479
79.2990868650785,79.3432406828341,-7.11871496812688,-7.08876744658833,7.67054127896604,40.569271895668
80.2410272749378,77.2334519211326,-7.33819601975748,-6.8000743823824,8.03147223052905,44.6982982883182
81.1843000655,75.510028687293,-7.45143392927234,-6.65709914779355,8.19095764039582,48.7490239359686
82.078437820411,74.2941916584905,-7.47507071938763,-6.66869657206383,8.15589867593099,52.6354954483968
82.8902256084537,73.6658707573545,-7.435176413369,-6.82405630728288,7.94624184594776,56.289655396011
83.6021317543053,73.6416051583869,-7.35988429040519,-7.09392989278042,7.58809004075317,59.6586770318675
84.2089105198013,74.1668437539605,-7.27199820482078,-7.43671443557098,7.10772861637791,62.6992212197748
84.7137448849843,75.129932579556,-7.18474808698078,-7.8070304039076,6.52857771295884,65.3733805847936
85.1253355794847,76.3919725393041,-7.10086109538443,-8.16301277941237,5.87306426412281,67.647855570525
85.4561108588819,77.8185421521158,-7.01420373590704,-8.47038879698239,5.16649690184645,69.4951009742442
